category,subcategory,question,answer,reasoning,source
Arithmetic,arithmetic_mixed,38×42=,1596.0,,Math-401
Arithmetic,arithmetic_mixed, ( 11 * 17) + 56=,243.0,,Math-401
Arithmetic,arithmetic_mixed,log 10(797)=,2.9015,,Math-401
Arithmetic,arithmetic_mixed,-1-9=,-10.0,,Math-401
Arithmetic,arithmetic_mixed,936913097197+52653430976=,989566528173.0,,Math-401
Arithmetic,arithmetic_mixed,6152×32179=,197965208.0,,Math-401
Arithmetic,arithmetic_mixed,log 2(432)=,8.7549,,Math-401
Arithmetic,arithmetic_mixed,3**3=,27.0,,Math-401
Arithmetic,arithmetic_mixed,8+56=,64.0,,Math-401
Arithmetic,arithmetic_mixed,13+934=,947.0,,Math-401
Arithmetic,arithmetic_mixed,log 10(495)=,2.6946,,Math-401
Arithmetic,arithmetic_mixed,"tan(9,17π)=",0.5774,,Math-401
Arithmetic,arithmetic_mixed,pi-π=,0.0,,Math-401
Arithmetic,arithmetic_mixed,85×47=,3995.0,,Math-401
Arithmetic,arithmetic_mixed,"cos(-9,75π)=",0.7071000000000001,,Math-401
Arithmetic,arithmetic_mixed,33/22=,1.5,,Math-401
Arithmetic,arithmetic_mixed,0.09*2.0=,0.18,,Math-401
Arithmetic,arithmetic_mixed,9+2=,11.0,,Math-401
Arithmetic,arithmetic_mixed,cos(-60°)=,0.5,,Math-401
Arithmetic,arithmetic_mixed,51677×90778=,4691134706.0,,Math-401
Arithmetic,arithmetic_mixed,ln(247)=,5.5094,,Math-401
Arithmetic,arithmetic_mixed,e-5=,-2.2817,,Math-401
Arithmetic,arithmetic_mixed,4.3651^3.1882=,109.7563,,Math-401
Arithmetic,arithmetic_mixed,50/95=,0.5263,,Math-401
Arithmetic,arithmetic_mixed,4-10=,-6.0,,Math-401
Arithmetic,arithmetic_mixed,50/18=,2.7778,,Math-401
Arithmetic,arithmetic_mixed,88254×26228=,2314725912.0,,Math-401
Arithmetic,arithmetic_mixed,721-847=,-126.0,,Math-401
Arithmetic,arithmetic_mixed,714637232158-667119914538=,47517317620.0,,Math-401
Arithmetic,arithmetic_mixed,0.0069+(-0.86)=,-0.8531000000000001,,Math-401
Arithmetic,arithmetic_mixed,-4+(-6)=,-10.0,,Math-401
Arithmetic,arithmetic_mixed,5+2=,7.0,,Math-401
Arithmetic,arithmetic_mixed, 38 + ( 26 / 67) * 19=,45.3731,,Math-401
Arithmetic,arithmetic_mixed,ln(779)=,6.658,,Math-401
Arithmetic,arithmetic_mixed,6+2=,8.0,,Math-401
Arithmetic,arithmetic_mixed,10+(-3)=,7.0,,Math-401
Arithmetic,arithmetic_mixed,2×89=,178.0,,Math-401
Arithmetic,arithmetic_mixed,88.0+(-0.54)=,87.46,,Math-401
Arithmetic,arithmetic_mixed,70÷61=,1.1475,,Math-401
Arithmetic,arithmetic_mixed,2+6=,8.0,,Math-401
Arithmetic,arithmetic_mixed,14÷85=,0.1647,,Math-401
Arithmetic,arithmetic_mixed,sin(-0.5π)=,-1.0,,Math-401
Arithmetic,arithmetic_mixed, ( 14 + 96) * 93 + ( 72 * 23)=,11886.0,,Math-401
Arithmetic,arithmetic_mixed,ln(695)=,6.5439,,Math-401
Arithmetic,arithmetic_mixed,0.6×4.0=,2.4,,Math-401
Arithmetic,arithmetic_mixed,5.0*0.09=,0.45,,Math-401
Arithmetic,arithmetic_mixed,66×45=,2970.0,,Math-401
Arithmetic,arithmetic_mixed,-23.0-(-0.43)=,-22.57,,Math-401
Arithmetic,arithmetic_mixed,373490079876-646750175965=,-273260096089.0,,Math-401
Arithmetic,arithmetic_mixed,7^4=,2401.0,,Math-401
Arithmetic,arithmetic_mixed,71786×21638=,1553305468.0,,Math-401
Arithmetic,arithmetic_mixed,623690866796+368029869233=,991720736029.0,,Math-401
Arithmetic,arithmetic_mixed,e-pi=,-0.4232,,Math-401
Arithmetic,arithmetic_mixed,3**4=,81.0,,Math-401
Arithmetic,arithmetic_mixed,5^4=,625.0,,Math-401
Arithmetic,arithmetic_mixed,2-8=,-6.0,,Math-401
Arithmetic,arithmetic_mixed,71/22=,3.2273,,Math-401
Arithmetic,arithmetic_mixed,636+766=,1402.0,,Math-401
Arithmetic,arithmetic_mixed,420-6=,414.0,,Math-401
Arithmetic,arithmetic_mixed, 32 / 15=,2.1333,,Math-401
Arithmetic,arithmetic_mixed,5655×42805=,242062275.0,,Math-401
Arithmetic,arithmetic_mixed,774426524175+721318944497=,1495745468672.0,,Math-401
Arithmetic,sequence_next_term,"Was ist der nächste Term in -32, -28, -22, -14, -4?",8,,Mathematics Dataset (Google DeepMind)
Arithmetic,sequence_next_term,"Was ist der nächste Term in 28, 76, 170, 334, 592?",968,,Mathematics Dataset (Google DeepMind)
Arithmetic,sequence_next_term,"Was kommt als nächstes? 97, 178, 259?",340,,Mathematics Dataset (Google DeepMind)
Arithmetic,sequence_next_term,"Was ist der nächste Begriff in 199, 408, 617, 826?",1035,,Mathematics Dataset (Google DeepMind)
Arithmetic,sequence_next_term,"Wie geht es weiter in 219, 201, 181, 159, 135, 109, 81?",51,,Mathematics Dataset (Google DeepMind)
Arithmetic,sequence_next_term,"Was kommt als nächstes? 34, 61, 88, 115?",142,,Mathematics Dataset (Google DeepMind)
Arithmetic,sequence_next_term,"Was kommt als nächstes in 10, 21, 38, 61, 90, 125?",166,,Mathematics Dataset (Google DeepMind)
Arithmetic,sequence_next_term,"Wie geht es weiter in -731, -732, -733?",-734,,Mathematics Dataset (Google DeepMind)
Arithmetic,sequence_next_term,"Was kommt als nächstes? 5929, 5928, 5927, 5926, 5925, 5924?",5923,,Mathematics Dataset (Google DeepMind)
Arithmetic,sequence_next_term,"Was ist der nächste Term in -321, -330, -351, -390, -453?",-546,,Mathematics Dataset (Google DeepMind)
